ID,Name,Age,OVA,Nationality,Club,BOV,BP,Position,POT,Team & Contract,Height,Weight,foot,Growth,Joined,Loan Date End,Value,Wage,Release Clause,Contract,Gender
210644,E. Marcondes,25,68,Denmark,Brentford,70,CAM,CAM ST LW,72,Brentford 2018 ~ 2021,"6'0""",165lbs,Right,4,"Jan 1, 2018",,€1.2M,€16K,€2.4M,2018 ~ 2021,Male
210646,A. Rømer,26,67,Denmark,Randers FC,67,CDM,CDM CM,68,Randers FC 2018 ~ 2024,"6'1""",163lbs,Right,1,"Jul 19, 2018",,€800K,€5K,€1.1M,2018 ~ 2024,Male
210648,A. Hegazi,29,72,Egypt,West Bromwich Albion,73,CB,CB,73,West Bromwich Albion 2017 ~ 2022,"6'4""",209lbs,Right,1,"Dec 18, 2017",,€2.9M,€48K,€6M,2017 ~ 2022,Male
210653,L. Quintana,28,69,Mexico,U.N.A.M.,70,CB,CB,70,U.N.A.M. 2011 ~ 2022,"5'11""",165lbs,Right,1,"Jan 1, 2011",,€1M,€6K,€1.8M,2011 ~ 2022,Male
210665,M. Halstenberg,28,82,Germany,RB Leipzig,82,LB,LB CB LWB,82,RB Leipzig 2015 ~ 2022,"6'2""",192lbs,Left,0,"Aug 31, 2015",,€19M,€64K,€32.3M,2015 ~ 2022,Male
210667,F. Vanzo,26,64,Belgium,Politehnica Iaşi,66,CAM,CAM RM,67,Politehnica Iaşi 2020 ~ 2024,"5'11""",170lbs,Right,3,"Aug 29, 2020",,€550K,€2K,€784K,2020 ~ 2024,Male
210679,Paulo Oliveira,28,76,Portugal,SD Eibar,77,CB,CB,77,SD Eibar 2017 ~ 2021,"6'2""",181lbs,Right,1,"Jul 17, 2017",,€7.5M,€25K,€16.3M,2017 ~ 2021,Male
210684,J. Tchouatcha,25,63,Cameroon,USL Dunkerque,63,LB,LB,66,USL Dunkerque 2016 ~ 2021,"5'11""",165lbs,Left,3,"Jul 1, 2016",,€400K,€1K,€730K,2016 ~ 2021,Male
210688,A. Trondsen,25,70,Norway,Trabzonspor,73,LM,CM LB,75,Trabzonspor 2020 ~ 2024,"6'0""",172lbs,Left,5,"Aug 12, 2020",,€2.3M,€16K,€4.8M,2020 ~ 2024,Male
210695,H. Aleesami,28,73,Norway,Norway,73,LB,LB,73,Norway Free,"6'0""",179lbs,Left,0,"Jul 8, 2019",,€0,€0,€0,Free,Male
210697,C. Nørgaard,26,73,Denmark,Brentford,74,CDM,CDM CM,78,Brentford 2019 ~ 2024,"6'2""",170lbs,Right,5,"Jun 11, 2019",,€4.8M,€31K,€9.5M,2019 ~ 2024,Male
210698,M. Steinmann,25,70,Germany,Wellington Phoenix,71,CDM,CDM CM,72,Wellington Phoenix 2019 ~ 2022,"6'2""",176lbs,Right,2,"Aug 9, 2019",,€2M,€3K,€2.7M,2019 ~ 2022,Male
210700,M. Abusabaan,30,64,Saudi Arabia,Al Taawoun,64,CDM,CDM CM CAM,64,Al Taawoun 2020 ~ 2022,"5'11""",168lbs,Right,0,"Jan 25, 2020",,€375K,€5K,€619K,2020 ~ 2022,Male
210701,M. Al Khodary,25,60,Saudi Arabia,Al Batin,59,CM,CM CDM,62,Al Batin 2017 ~ 2021,"5'9""",139lbs,Right,2,"Jan 17, 2017",,€250K,€2K,€431K,2017 ~ 2021,Male
210703,L. Đorđević,25,70,Montenegro,Lokomotiv Moscow,72,ST,ST,73,Lokomotiv Moscow 2019 ~ 2023,"6'1""",163lbs,Right,3,"Aug 12, 2019",,€2.3M,€25K,€3.9M,2019 ~ 2023,Male
210713,F. Holst,25,68,Denmark,IF Elfsborg,69,RM,RB CM,70,IF Elfsborg 2018 ~ 2021,"5'9""",157lbs,Right,2,"Aug 10, 2018",,€950K,€2K,€1.3M,2018 ~ 2021,Male
210719,M. Kempf,25,74,Germany,VfB Stuttgart,76,CB,CB,78,VfB Stuttgart 2018 ~ 2022,"6'1""",192lbs,Left,4,"Jul 1, 2018",,€6.5M,€19K,€12.2M,2018 ~ 2022,Male
210722,Júlio Tavares,31,73,Cape Verde,Al Faisaly,73,ST,ST,73,Al Faisaly 2020 ~ 2022,"6'2""",183lbs,Right,0,"Sep 13, 2020",,€3.6M,€15K,€5.9M,2020 ~ 2022,Male
210723,N. Gießelmann,28,71,Germany,1. FC Union Berlin,71,LB,LB LWB,71,1. FC Union Berlin 2020 ~ 2024,"6'0""",165lbs,Left,0,"Jul 15, 2020",,€2M,€18K,€3.6M,2020 ~ 2024,Male
210724,C. Paterson,25,70,Scotland,Cardiff City,74,CB,ST CAM,74,Cardiff City 2017 ~ 2022,"6'2""",168lbs,Right,4,"Jul 1, 2017",,€2.3M,€17K,€4.5M,2017 ~ 2022,Male
210736,Emerson,25,79,Italy,Chelsea,80,LWB,LB,82,Chelsea 2018 ~ 2022,"5'9""",174lbs,Left,3,"Jan 30, 2018",,€14M,€77K,€27.7M,2018 ~ 2022,Male
210742,M. Hallberg,24,66,Sweden,Hibernian,67,CM,CDM,71,Hibernian 2019 ~ 2022,"5'11""",150lbs,Right,5,"Aug 23, 2019",,€775K,€2K,€1.4M,2019 ~ 2022,Male
210743,Leandrinho,25,67,Brazil,Vitória de Setúbal,70,CAM,CM CAM,70,Vitória de Setúbal 2019 ~ 2022,"5'10""",154lbs,Right,3,"Sep 2, 2019",,€950K,€2K,€2.1M,2019 ~ 2022,Male
210747,Salva Ruíz,24,68,Spain,Deportivo de La Coruña,69,LB,LB LM,75,Deportivo de La Coruña 2019 ~ 2022,"5'9""",161lbs,Left,7,"Sep 2, 2019",,€1.1M,€3K,€2M,2019 ~ 2022,Male
210761,R. Pizarro,26,76,Mexico,Inter Miami,79,RM,CAM LM CM,79,Inter Miami 2020 ~ 2021,"5'9""",157lbs,Right,3,"Feb 12, 2020",,€9.5M,€9K,€15M,2020 ~ 2021,Male
210762,B. Hernández,25,64,Mexico,Santos Laguna,64,LB,LB,67,Santos Laguna 2020 ~ 2024,"5'8""",159lbs,Left,3,"Jul 31, 2020",,€500K,€5K,€888K,2020 ~ 2024,Male
210772,P. Drewes,27,65,Germany,VfL Bochum 1848,65,GK,GK,69,VfL Bochum 1848 2019 ~ 2021,"6'4""",192lbs,Right,4,"Jul 1, 2019",,€500K,€4K,€838K,2019 ~ 2021,Male
210773,K. Skaanes,25,63,Norway,IK Start,64,RM,RM CM,65,IK Start 2018 ~ 2021,"5'9""",134lbs,Right,2,"Apr 4, 2018",,€450K,€950,€596K,2018 ~ 2021,Male
210792,A. Al Zaqan,29,64,Saudi Arabia,Al Fateh,64,RM,RM,64,Al Fateh 2017 ~ 2022,"5'10""",157lbs,Right,0,"Jul 2, 2017",,€450K,€7K,€743K,2017 ~ 2022,Male
210798,A. Kamara,26,66,Sierra Leone,Randers FC,68,ST,ST,68,Randers FC 2019 ~ 2022,"5'11""",161lbs,Right,2,"Jun 15, 2019",,€800K,€5K,€1.1M,2019 ~ 2022,Male
210801,D. Accam,29,69,Ghana,Nashville SC,70,RW,LM LW,69,Nashville SC 2020 ~ 2024,"5'9""",174lbs,Right,0,"Jan 1, 2020",,€1M,€4K,€1.5M,2020 ~ 2024,Male
210802,J. Nilsson,26,72,Sweden,DSC Arminia Bielefeld,74,CB,CB,75,DSC Arminia Bielefeld 2019 ~ 2022,"6'1""",172lbs,Left,3,"Jul 11, 2019",,€3.4M,€16K,€6.4M,2019 ~ 2022,Male
210804,M. Salem,34,66,Saudi Arabia,Al Shabab,66,CB,CB,66,Al Shabab 2017 ~ 2021,"5'10""",181lbs,Right,0,"Jun 27, 2017",,€240K,€9K,€408K,2017 ~ 2021,Male
210814,J. Velázquez,29,73,Argentina,Querétaro,74,CB,CB,74,Querétaro 2020 ~ 2020,"6'0""",176lbs,Right,1,"Jan 8, 2020",,€3.8M,€9K,€6.6M,2020 ~ 2020,Male
210822,Douglas Santos,24,77,Brazil,Hamburger SV,76,LWB,LB,81,Hamburger SV 2016 ~ 2021,"5'9""",154lbs,Left,4,"Aug 31, 2016",,€9.5M,€15K,€15.9M,2016 ~ 2021,Male
210826,F. Gallegos,28,68,Chile,Atlético de San Luis,70,LM,CM LM,68,Atlético de San Luis 2020 ~ 2022,"5'8""",161lbs,Left,0,"Jan 3, 2020",,€900K,€7K,€1.5M,2020 ~ 2022,Male
210828,B. Engels,25,74,Belgium,Aston Villa,76,CB,CB,79,Aston Villa 2019 ~ 2023,"6'4""",183lbs,Right,5,"Jul 17, 2019",,€6.5M,€39K,€12.8M,2019 ~ 2023,Male
210831,B. Verstraete,26,72,Belgium,Royal Antwerp FC,73,CDM,CDM CM,76,"Royal Antwerp FC Jun 30, 2021 On Loan","5'9""",134lbs,Right,4,"Jul 1, 2019","Jun 30, 2021",€3.6M,€14K,€0,"Jun 30, 2021 On Loan",Male
210833,R. Improta,26,69,Italy,Benevento,69,LM,LM LW,70,Benevento 2018 ~ 2022,"5'10""",161lbs,Right,1,"Jul 1, 2018",,€1.2M,€9K,€2.3M,2018 ~ 2022,Male
210862,Ricardo Ferreira,27,69,Portugal,Os Belenenses,71,CB,CB,72,Os Belenenses 2020 ~ 2024,"6'3""",170lbs,Right,3,"Jan 31, 2020",,€1.1M,€4K,€2.4M,2020 ~ 2024,Male
210864,E. Hysaj,26,78,Albania,Napoli,78,RB,RB LB,81,Napoli 2015 ~ 2021,"6'0""",154lbs,Right,3,"Aug 2, 2015",,€11.5M,€54K,€20.4M,2015 ~ 2021,Male
210868,José Mari,32,70,Spain,Cádiz CF,70,CDM,CDM CM,70,Cádiz CF 2016 ~ 2022,"5'11""",152lbs,Right,0,"Aug 16, 2016",,€1.2M,€14K,€2.6M,2016 ~ 2022,Male
210870,G. Zhukov,25,66,Kazakhstan,Wisła Kraków,70,RM,CM CDM,69,Wisła Kraków 2020 ~ 2022,"5'8""",168lbs,Right,3,"Feb 1, 2020",,€800K,€2K,€1.1M,2020 ~ 2022,Male
210879,A. Struna,29,69,Slovenia,Houston Dynamo,69,CB,CB,69,Houston Dynamo 2019 ~ 2022,"6'2""",185lbs,Right,0,"Jan 1, 2019",,€875K,€4K,€1.3M,2019 ~ 2022,Male
210880,R. Fiamozzi,27,70,Italy,Empoli,70,RB,RB,70,Empoli 2018 ~ 2021,"5'10""",168lbs,Right,0,"Jul 25, 2018",,€1.6M,€3K,€2.5M,2018 ~ 2021,Male
210881,J. McGinn,25,76,Scotland,Aston Villa,78,CM,CM,81,Aston Villa 2018 ~ 2024,"5'10""",150lbs,Left,5,"Aug 8, 2018",,€10M,€49K,€19.8M,2018 ~ 2024,Male
210896,M. Sanson,25,79,France,Olympique de Marseille,81,CM,CM CAM,82,Olympique de Marseille 2017 ~ 2022,"5'11""",161lbs,Right,3,"Jan 17, 2017",,€15.5M,€42K,€30.6M,2017 ~ 2022,Male
210897,C. Mbemba,25,75,DR Congo,FC Porto,77,CB,CB RB,78,FC Porto 2018 ~ 2022,"6'0""",181lbs,Right,3,"Jul 23, 2018",,€7.5M,€11K,€15.6M,2018 ~ 2022,Male
210914,F. Rosso,30,65,Argentina,Chacarita Juniors,64,CB,CB,65,Chacarita Juniors 2016 ~ 2021,"6'1""",183lbs,Left,0,"Jan 1, 2016",,€400K,€4K,€580K,2016 ~ 2021,Male
210917,M. Fossati,27,68,Italy,AC Monza,68,CM,CM CDM,68,AC Monza 2019 ~ 2022,"5'11""",161lbs,Right,0,"Jan 7, 2019",,€925K,€2K,€1.5M,2019 ~ 2022,Male
210923,M. Al Owais,28,71,Saudi Arabia,Al Ahli,71,GK,GK,72,Al Ahli 2017 ~ 2022,"6'2""",174lbs,Left,1,"Jul 27, 2017",,€2M,€18K,€3.6M,2017 ~ 2022,Male
210926,A. Ateef,27,70,Saudi Arabia,Al Hilal,71,CM,CDM CM,71,Al Hilal 2013 ~ 2021,"5'10""",150lbs,Right,1,"Feb 11, 2013",,€1.8M,€18K,€3.2M,2013 ~ 2021,Male
210930,Carles Gil,27,76,Spain,New England Revolution,76,RM,RM CAM CM,76,New England Revolution 2019 ~ 2024,"5'7""",146lbs,Left,0,"Feb 13, 2019",,€8M,€9K,€12M,2019 ~ 2024,Male
210935,D. Berardi,25,80,Italy,Sassuolo,82,CAM,RM RW,81,Sassuolo 2012 ~ 2024,"6'0""",159lbs,Left,1,"Jul 1, 2012",,€17.5M,€39K,€31.1M,2012 ~ 2024,Male
210947,N. Karelis,27,70,Greece,Brentford,70,ST,ST,70,Brentford 2019 ~ 2020,"5'8""",154lbs,Left,0,"Aug 22, 2019",,€1.9M,€25K,€3.6M,2019 ~ 2020,Male
210950,P. De Blasis,31,73,Argentina,SD Eibar,75,RW,RB LM RM,73,SD Eibar 2018 ~ 2020,"5'5""",143lbs,Right,0,"Aug 30, 2018",,€2.9M,€17K,€6.1M,2018 ~ 2020,Male
210951,E. Flores,26,69,Peru,DC United,71,CAM,CAM LM,71,DC United 2020 ~ 2021,"5'7""",154lbs,Left,2,"Jan 14, 2020",,€1.3M,€4K,€2M,2020 ~ 2021,Male
210956,M. Bagnack,22,65,Cameroon,FC Admira Wacker Mödling,64,CB,CB,69,FC Admira Wacker Mödling 2017 ~ 2019,"6'0""",172lbs,Right,4,"Aug 15, 2017",,€600K,€3K,€915K,2017 ~ 2019,Male
210964,F. Ceccherini,28,70,Italy,Fiorentina,72,CB,CB,72,Fiorentina 2018 ~ 2023,"6'2""",165lbs,Right,2,"Jul 16, 2018",,€1.8M,€24K,€3.2M,2018 ~ 2023,Male
210972,Manquillo,26,76,Spain,Newcastle United,76,RWB,RWB RB LWB,79,Newcastle United 2017 ~ 2024,"5'10""",168lbs,Right,3,"Jul 21, 2017",,€8.5M,€34K,€16.8M,2017 ~ 2024,Male
210981,A. Barison,24,72,Italy,Pordenone,73,CB,CB,78,Pordenone 2018 ~ 2022,"6'1""",172lbs,Right,6,"Jul 11, 2018",,€3.8M,€2K,€6.7M,2018 ~ 2022,Male
210985,B. Osborn,25,74,England,Sheffield United,74,LWB,LWB CM,77,Sheffield United 2019 ~ 2022,"5'9""",165lbs,Left,3,"Jul 26, 2019",,€6M,€26K,€11.9M,2019 ~ 2022,Male
210986,K. Wallace,25,63,England,Burton Albion,63,LB,LB CDM CB,68,Burton Albion 2018 ~ 2021,"6'1""",165lbs,Left,5,"Oct 30, 2018",,€425K,€2K,€776K,2018 ~ 2021,Male
211004,Han Kook Young,30,70,Korea Republic,Gangwon FC,70,CDM,CDM CM,70,Gangwon FC 2017 ~ 2024,"6'0""",161lbs,Right,0,"Jul 4, 2017",,€1.5M,€5K,€1.9M,2017 ~ 2024,Male
211005,Jang Hyeon Soo,28,72,Korea Republic,Al Hilal,72,CB,CB,72,Al Hilal 2019 ~ 2022,"6'2""",170lbs,Right,0,"Jul 13, 2019",,€2.7M,€25K,€4.6M,2019 ~ 2022,Male
211006,M. Al Amri,28,65,Saudi Arabia,Al Wehda,65,LB,LB LM,65,Al Wehda 2020 ~ 2023,"5'10""",152lbs,Left,0,"Sep 10, 2020",,€475K,€6K,€784K,2020 ~ 2023,Male
211009,D. Lenihan,26,72,Republic of Ireland,Blackburn Rovers,74,CB,CB,76,Blackburn Rovers 2012 ~ 2022,"6'2""",168lbs,Right,4,"Jun 1, 2012",,€3.5M,€27K,€6.9M,2012 ~ 2022,Male
211014,Paulinho B,28,72,Portugal,AEK Athens,72,RB,RB RWB RM,72,AEK Athens 2019 ~ 2021,"5'9""",154lbs,Right,0,"Jul 1, 2019",,€2.7M,€500,€5.9M,2019 ~ 2021,Male
211019,D. Ubbink,27,60,Netherlands,Podbeskidzie Bielsko-Biała,61,CAM,CAM,61,Podbeskidzie Bielsko-Biała 2019 ~ 2020,"5'11""",161lbs,Right,1,"Oct 25, 2019",,€240K,€950,€342K,2019 ~ 2020,Male
211022,Rubén García,26,79,Spain,CA Osasuna,79,LM,LM ST CAM,79,CA Osasuna 2018 ~ 2023,"5'7""",157lbs,Left,0,"Aug 20, 2018",,€13.5M,€37K,€28.4M,2018 ~ 2023,Male
211033,L. García,27,70,Mexico,Deportivo Toluca,70,GK,GK,74,Deportivo Toluca 2018 ~ 2022,"6'0""",198lbs,Right,4,"Jul 11, 2018",,€1.6M,€9K,€2.8M,2018 ~ 2022,Male
211037,De La Hoz,28,69,Spain,UD Almería,69,CDM,CDM CM CB,70,UD Almería 2018 ~ 2022,"5'10""",163lbs,Left,1,"Jul 4, 2018",,€1M,€5K,€1.7M,2018 ~ 2022,Male
211048,O. Kayode,27,72,Nigeria,Sivasspor,73,ST,ST,73,Sivasspor 2018 ~ 2023,"5'9""",143lbs,Right,1,"Jul 1, 2018",,€3.6M,€15K,€7.5M,2018 ~ 2023,Male
211053,L. Hägg Johansson,25,67,Sweden,Kalmar FF,67,GK,GK,71,Kalmar FF 2012 ~ 2020,"6'2""",174lbs,Right,4,"Jan 1, 2012",,€725K,€1K,€961K,2012 ~ 2020,Male
211057,Pablo Valcarce,27,68,Spain,SD Ponferradina,68,RM,RM LM CAM,68,"SD Ponferradina Jun 30, 2021 On Loan","5'8""",154lbs,Right,0,"Jul 2, 2018","Jun 30, 2021",€950K,€4K,€0,"Jun 30, 2021 On Loan",Male
211060,Elsinho,30,71,Brazil,Shimizu S-Pulse,71,RB,RB RM,71,Shimizu S-Pulse 2019 ~ 2022,"5'11""",172lbs,Right,0,"Jan 10, 2019",,€1.9M,€3K,€2.4M,2019 ~ 2022,Male
211061,A. Maxim,29,72,Romania,Gazişehir Gaziantep F.K.,72,CAM,CAM CM LM,72,Gazişehir Gaziantep F.K. 2020 ~ 2022,"5'10""",161lbs,Right,0,"Aug 11, 2020",,€3M,€12K,€6M,2020 ~ 2022,Male
211067,D. Del Fabro,24,67,Italy,Kilmarnock,68,CB,CB,71,"Kilmarnock Jun 30, 2020 On Loan","6'2""",179lbs,Right,4,"Jul 28, 2017","Jun 30, 2020",€900K,€2K,€0,"Jun 30, 2020 On Loan",Male
211068,K. Kodro,26,68,Bosnia Herzegovina,Athletic Club de Bilbao,69,ST,ST CAM,69,Athletic Club de Bilbao 2019 ~ 2022,"6'3""",176lbs,Right,1,"Jan 31, 2019",,€1.1M,€10K,€2.4M,2019 ~ 2022,Male
211093,C. McGregor,27,77,Scotland,Celtic,78,LWB,CDM CM,78,Celtic 2009 ~ 2024,"5'9""",163lbs,Left,1,"Jul 7, 2009",,€9M,€47K,€16.9M,2009 ~ 2024,Male
211095,N. Brock-Madsen,27,63,Denmark,AC Horsens,64,ST,ST,64,AC Horsens 2019 ~ 2021,"6'3""",194lbs,Right,1,"Jan 21, 2019",,€425K,€3K,€563K,2019 ~ 2021,Male
211096,M. Fraser,26,65,Scotland,St. Mirren,65,RB,RB CB LB,67,St. Mirren 2020 ~ 2021,"6'0""",154lbs,Right,2,"Jul 28, 2020",,€575K,€2K,€1M,2020 ~ 2021,Male
211098,B. Dack,26,74,England,Blackburn Rovers,76,CAM,CAM CM,76,Blackburn Rovers 2017 ~ 2021,"5'8""",157lbs,Right,2,"Jul 1, 2017",,€7M,€37K,€13.8M,2017 ~ 2021,Male
211099,O. Nguette,25,75,Senegal,FC Metz,75,LW,LW RW,76,FC Metz 2016 ~ 2022,"6'0""",168lbs,Right,1,"Jul 1, 2016",,€8M,€19K,€16.6M,2016 ~ 2022,Male
211101,Rubén Blanco,24,76,Spain,RC Celta,76,GK,GK,82,RC Celta 2012 ~ 2023,"6'2""",154lbs,Right,6,"Jul 1, 2012",,€8M,€14K,€18.4M,2012 ~ 2023,Male
211107,Frederico Venâncio,27,75,Portugal,Vitória Guimarães,77,CB,CB,78,Vitória Guimarães 2018 ~ 2022,"6'1""",179lbs,Right,3,"Jul 7, 2018",,€7M,€10K,€15.2M,2018 ~ 2022,Male
211108,Fei Nanduo,27,75,China PR,Guangzhou Evergrande Taobao FC,75,RW,RW LW CF,75,Guangzhou Evergrande Taobao FC 2020 ~ 2023,"5'9""",139lbs,Left,0,"Jan 1, 2020",,€7M,€24K,€11.2M,2020 ~ 2023,Male
211110,P. Dybala,26,88,Argentina,Juventus,89,CAM,CF CAM,89,Juventus 2015 ~ 2022,"5'10""",165lbs,Left,1,"Jul 1, 2015",,€71M,€190K,€122.5M,2015 ~ 2022,Male
211117,D. Alli,24,83,England,Tottenham Hotspur,86,CAM,CAM CM,87,Tottenham Hotspur 2015 ~ 2024,"6'2""",176lbs,Right,4,"Feb 2, 2015",,€34M,€105K,€67.2M,2015 ~ 2024,Male
211119,Pedro Santos,32,74,Portugal,Columbus Crew SC,74,CAM,CAM RM LM,74,Columbus Crew SC 2017 ~ 2020,"5'8""",143lbs,Left,0,"Aug 8, 2017",,€4.4M,€8K,€6.6M,2017 ~ 2020,Male
211124,P. Hurtado,29,70,Peru,Atiker Konyaspor,71,RW,CAM LM,70,Atiker Konyaspor 2018 ~ 2021,"5'9""",159lbs,Right,0,"Aug 6, 2018",,€1.7M,€11K,€3.4M,2018 ~ 2021,Male
211141,N. Al Subhi,30,62,Saudi Arabia,Al Fayha,62,CB,CB,62,Al Fayha 2018 ~ 2021,"5'11""",163lbs,Left,0,"Feb 2, 2018",,€250K,€4K,€413K,2018 ~ 2021,Male
211143,J. Ironside,26,60,England,Cambridge United,61,ST,ST,61,Cambridge United 2020 ~ 2022,"6'0""",165lbs,Right,1,"Jul 31, 2020",,€250K,€2K,€456K,2020 ~ 2022,Male
211147,V. Lazaro B,24,79,Austria,Borussia Mönchengladbach,80,RM,RM RWB RB,83,"Borussia Mönchengladbach Jun 30, 2021 On Loan","5'11""",168lbs,Right,4,"Jul 1, 2019","Jun 30, 2021",€16.5M,€37K,€0,"Jun 30, 2021 On Loan",Male
211163,T. O'Sullivan,22,58,Wales,Colchester United,58,CAM,CM,65,Colchester United 2017 ~ 2018,"5'9""",157lbs,Right,7,"Jan 20, 2017",,€180K,€3K,€351K,2017 ~ 2018,Male
211166,J. Whatmough,23,66,England,Portsmouth,68,CB,CB,75,Portsmouth 2013 ~ 2021,"6'3""",172lbs,Right,9,"Aug 19, 2013",,€900K,€3K,€1.8M,2013 ~ 2021,Male
211173,S. Al Shehri,26,66,Saudi Arabia,Al Hilal,68,ST,ST,69,Al Hilal 2020 ~ 2024,"6'0""",170lbs,Right,3,"Jul 23, 2020",,€825K,€12K,€1.5M,2020 ~ 2024,Male
211174,F. Sporkslede,25,63,Netherlands,RKC Waalwijk,66,CDM,RB,65,RKC Waalwijk 2019 ~ 2020,"5'10""",152lbs,Right,2,"Sep 27, 2019",,€400K,€2K,€610K,2019 ~ 2020,Male
211176,R. Kishna,25,70,Netherlands,ADO Den Haag,71,CAM,LW,72,ADO Den Haag 2020 ~ 2021,"6'0""",170lbs,Left,2,"Aug 31, 2020",,€2.2M,€6K,€3.4M,2020 ~ 2021,Male
211177,A. Traustason,27,71,Iceland,Malmö FF,71,LM,LM,71,Malmö FF 2018 ~ 2021,"6'0""",165lbs,Right,0,"Jan 1, 2018",,€2.5M,€6K,€3.3M,2018 ~ 2021,Male
211178,M. Rusike,30,64,Zimbabwe,Stabæk Fotball,65,RW,ST,64,Stabæk Fotball 2019 ~ 2020,"5'11""",170lbs,Right,0,"Mar 11, 2019",,€425K,€1K,€531K,2019 ~ 2020,Male
211195,L. Woudenberg,26,67,Netherlands,SC Heerenveen,67,LB,LB,69,SC Heerenveen 2017 ~ 2022,"6'1""",154lbs,Left,2,"Aug 1, 2017",,€800K,€3K,€1.2M,2017 ~ 2022,Male
211204,D. John,25,70,Wales,Swansea City,70,LWB,LWB LB,74,Swansea City 2018 ~ 2021,"5'10""",165lbs,Left,4,"Aug 9, 2018",,€2M,€14K,€4M,2018 ~ 2021,Male
211211,Caye Quintana,26,68,Spain,Málaga CF,70,ST,ST,71,"Málaga CF Jun 30, 2021 On Loan","5'11""",163lbs,Right,3,"Jul 1, 2019","Jun 30, 2021",€1.1M,€5K,€0,"Jun 30, 2021 On Loan",Male
211217,D. Sweeney,26,58,England,Forest Green Rovers,60,CB,CB CDM,63,Forest Green Rovers 2020 ~ 2022,"6'3""",172lbs,Right,5,"Jul 1, 2020",,€150K,€3K,€274K,2020 ~ 2022,Male
211221,M. Boyle B,27,68,Australia,Hibernian,68,RM,RM RWB ST,68,Hibernian 2015 ~ 2023,"5'10""",154lbs,Right,0,"Jul 1, 2015",,€950K,€4K,€1.7M,2015 ~ 2023,Male
211227,M. Kopczyński,28,64,Poland,Warta Poznań,64,CDM,CDM CB,65,Warta Poznań 2020 ~ 2022,"5'11""",154lbs,Right,1,"Aug 20, 2020",,€450K,€1K,€641K,2020 ~ 2022,Male
211231,R. Azeez,27,75,Nigeria,Granada CF,76,CDM,CDM CM CAM,78,Granada CF 2019 ~ 2022,"5'7""",148lbs,Right,3,"Jan 31, 2019",,€7.5M,€22K,€16.3M,2019 ~ 2022,Male
211234,E. Zidane,25,64,France,UD Almería,66,CAM,CAM CM CDM,69,UD Almería 2020 ~ 2024,"6'0""",172lbs,Right,5,"Feb 1, 2020",,€600K,€2K,€1M,2020 ~ 2024,Male
211238,L. Kassi,25,64,Ivory Coast,Stabæk Fotball,67,CAM,CM LW,67,Stabæk Fotball 2012 ~ 2021,"5'10""",163lbs,Right,3,"Aug 1, 2012",,€550K,€1K,€729K,2012 ~ 2021,Male
211239,C. Jean,24,71,France,Racing Club de Lens,72,RM,RM ST,74,Racing Club de Lens 2020 ~ 2023,"5'7""",154lbs,Right,3,"Jul 1, 2020",,€3M,€21K,€6.2M,2020 ~ 2023,Male
211240,J. Lopez,28,68,Algeria,Paris FC,68,LM,LM RM LW,68,Paris FC 2017 ~ 2022,"5'8""",150lbs,Right,0,"Jun 27, 2017",,€900K,€4K,€1.6M,2017 ~ 2022,Male
211241,Rubén Peña,28,80,Spain,Villarreal CF,80,RB,RB LB,80,Villarreal CF 2019 ~ 2024,"5'7""",143lbs,Right,0,"Jul 4, 2019",,€12.5M,€37K,€26.3M,2019 ~ 2024,Male
211243,Nono,29,69,Spain,CD Tenerife,69,LM,LM,69,CD Tenerife 2020 ~ 2022,"5'7""",154lbs,Right,0,"Sep 15, 2020",,€1M,€6K,€1.6M,2020 ~ 2022,Male
211245,M. Cebula,24,64,Poland,Raków Częstochowa,65,RM,LM RM,68,Raków Częstochowa 2020 ~ 2023,"5'10""",143lbs,Right,4,"Aug 1, 2020",,€600K,€2K,€855K,2020 ~ 2023,Male
211249,R. Rodríguez,32,67,Uruguay,River Plate Montevideo,68,CB,CDM CM CB,67,River Plate Montevideo 2020 ~ 2020,"6'0""",170lbs,Right,0,"Jan 19, 2020",,€500K,€500,€1.1M,2020 ~ 2020,Male
211256,N. Tagliafico,27,84,Argentina,Ajax,84,LB,LB,84,Ajax 2018 ~ 2022,"5'8""",143lbs,Left,0,"Jan 5, 2018",,€27.5M,€27K,€38.5M,2018 ~ 2022,Male
211263,L. Magallán,26,73,Argentina,Crotone,75,CB,CB,75,"Crotone Jun 30, 2021 On Loan","6'1""",183lbs,Right,2,"Jan 1, 2019","Jun 30, 2021",€4.3M,€10K,€0,"Jun 30, 2021 On Loan",Male
211265,A. Rojas,34,70,Argentina,Central Córdoba,70,CM,CM CDM LM,70,Central Córdoba 2020 ~ 2021,"5'9""",157lbs,Left,0,"Jul 31, 2020",,€875K,€7K,€1.3M,2020 ~ 2021,Male
211267,R. Centurión,27,77,Argentina,Vélez Sarsfield,77,RW,RW LW LM,77,Vélez Sarsfield 2020 ~ 2023,"5'9""",143lbs,Right,0,"Jan 10, 2020",,€9.5M,€21K,€14.3M,2020 ~ 2023,Male
211269,G. Fernández,28,74,Argentina,Boca Juniors,74,CAM,CAM CM LM,74,"Boca Juniors Dec 31, 2020 On Loan","5'10""",165lbs,Right,0,"Jul 1, 2019","Dec 31, 2020",€5.5M,€16K,€0,"Dec 31, 2020 On Loan",Male
